track_id,start_frame,end_frame,duration_frames,duration_min,start_x_px,start_y_px,end_x_px,end_y_px,total_path_length_px,total_path_length_um,net_displacement_px,net_displacement_um,mean_speed_um_per_min,max_speed_um_per_min,direction_angle_degrees,straightness_index,mean_area_px,median_area_px
1,0,652,653,653.0,1253.7761194029852,296.2039800995025,1263.8071065989848,293.9238578680203,527.1410136774646,527.1410136774646,10.28686840184161,10.28686840184161,0.8084984872353751,19.325656790641766,-12.806180130142325,0.019514452745913093,295.8759571209801,265.0
2,0,2,3,3.0,828.1069958847737,302.24691358024694,828.1069958847737,302.24691358024694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,486.0,486.0
3,0,2,3,3.0,1031.5397225725094,312.5018915510719,1031.5397225725094,312.5018915510719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,793.0,793.0
4,0,2,3,3.0,1204.4470588235295,301.74117647058824,1204.4470588235295,301.74117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,85.0
5,0,2,3,3.0,1089.8985507246377,314.1304347826087,1089.8985507246377,314.1304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,69.0,69.0
6,0,2,3,3.0,746.0940598779557,345.2831331045004,746.0940598779557,345.2831331045004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20976.0,20976.0
7,0,2,3,3.0,342.322188449848,320.67173252279633,342.322188449848,320.67173252279633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,329.0,329.0
8,0,652,653,653.0,295.19924812030075,333.5827067669173,292.0840108401084,335.1544715447154,331.4500181219285,331.4500181219285,3.4892904477310207,3.4892904477310207,0.5083589234998903,14.053999283531667,153.22718528245335,0.010527350300060736,431.1653905053599,411.0
9,0,2,3,3.0,835.2692307692307,335.88461538461536,835.2692307692307,335.88461538461536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.0,26.0
10,0,2,3,3.0,608.0,334.5,608.0,334.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0
11,0,2,3,3.0,627.9565217391304,338.39130434782606,627.9565217391304,338.39130434782606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.0,23.0
12,0,2,3,3.0,694.0,339.5,694.0,339.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,10.0
13,0,2,3,3.0,582.2978723404256,342.27659574468083,582.2978723404256,342.27659574468083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,47.0
14,0,2,3,3.0,554.8888888888889,341.6666666666667,554.8888888888889,341.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,9.0
15,0,2,3,3.0,1096.4285714285713,341.2857142857143,1096.4285714285713,341.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,7.0
16,0,2,3,3.0,233.61065573770492,351.1024590163934,233.61065573770492,351.1024590163934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,244.0,244.0
17,0,2,3,3.0,349.0851063829787,348.63829787234044,349.0851063829787,348.63829787234044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,47.0
18,0,2,3,3.0,402.84,352.96,402.84,352.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.0,25.0
19,0,2,3,3.0,444.3333333333333,350.6666666666667,444.3333333333333,350.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0
20,0,2,3,3.0,79.3012912482066,365.3845050215208,79.3012912482066,365.3845050215208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,697.0,697.0
21,0,2,3,3.0,332.90909090909093,351.8181818181818,332.90909090909093,351.8181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,11.0
22,0,2,3,3.0,413.5,351.5,413.5,351.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,8.0
23,0,2,3,3.0,451.6666666666667,351.6666666666667,451.6666666666667,351.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0
24,0,2,3,3.0,491.1034482758621,355.2413793103448,491.1034482758621,355.2413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.0,29.0
25,0,2,3,3.0,166.9770992366412,363.4351145038168,166.9770992366412,363.4351145038168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,393.0,393.0
26,0,2,3,3.0,267.2857142857143,357.0,267.2857142857143,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,7.0
27,0,2,3,3.0,205.34615384615384,365.65384615384613,205.34615384615384,365.65384615384613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.0,26.0
28,0,652,653,653.0,559.0952380952381,370.0833333333333,551.622009569378,364.8755980861244,103.31393485248384,103.31393485248384,9.108767809355532,9.108767809355532,0.1584569552952206,8.507759062994007,-145.12920549292372,0.08816591704073057,66.17611026033691,59.0
29,0,2,3,3.0,37.0,369.0,37.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,9.0
30,0,2,3,3.0,52.666666666666664,373.3333333333333,52.666666666666664,373.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0
