frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,18776,18776.0,1122.5290039756346,1122.5290039756346,4,12,12,10,1,,,
1,1.0,19633,19633.0,1224.9554108468276,1224.9554108468276,10,18,26,15,9,102.42640687119297,857.0,6.0
2,2.0,20000,20000.0,1213.3990616607236,1213.3990616607236,8,12,21,10,10,-11.556349186103944,367.0,-2.0
3,3.0,20608,20608.0,1194.913780286485,1194.913780286485,5,13,14,11,2,-18.48528137423864,608.0,-3.0
4,4.0,21134,21134.0,1297.854905783439,1297.854905783439,11,12,32,11,19,102.9411254969541,526.0,6.0
5,5.0,21913,21913.0,1513.234631460406,1513.234631460406,24,23,58,21,33,215.37972567696693,779.0,13.0
6,6.0,22171,22171.0,1525.5777772109136,1525.5777772109136,28,28,62,24,34,12.343145750507574,258.0,4.0
7,7.0,22980,22980.0,1559.9625535217635,1559.9625535217635,26,21,57,17,34,34.38477631084993,809.0,-2.0
8,8.0,23330,23330.0,1556.548339959391,1556.548339959391,26,16,50,14,32,-3.4142135623726517,350.0,0.0
9,9.0,24027,24027.0,1528.820417898033,1528.820417898033,17,22,44,18,22,-27.72792206135796,697.0,-9.0
10,10.0,24327,24327.0,1583.9331162702408,1583.9331162702408,21,20,49,16,28,55.11269837220789,300.0,4.0
11,11.0,24868,24868.0,1560.4478348960026,1560.4478348960026,21,24,45,18,17,-23.485281374238184,541.0,0.0
12,12.0,25465,25465.0,1623.5189027078677,1623.5189027078677,22,24,48,20,23,63.07106781186508,597.0,1.0
13,13.0,25891,25891.0,1643.6194077712562,1643.6194077712562,24,19,53,19,30,20.100505063388482,426.0,2.0
14,14.0,26192,26192.0,1688.3889603929572,1688.3889603929572,28,20,52,20,25,44.769552621700996,301.0,4.0
15,15.0,26482,26482.0,1655.5605332682103,1655.5605332682103,25,22,49,19,25,-32.828427124746895,290.0,-3.0
16,16.0,26923,26923.0,1623.962553521764,1623.962553521764,19,16,35,14,15,-31.5979797464463,441.0,-6.0
