frame_index,time_min,bacteria_count,total_bacteria_area_px,mean_bacteria_area_px,tracks_active,mean_speed_um_per_min
75,75.0,8,1841,230.125,8,3.7362814053077344
76,76.0,7,1922,274.57142857142856,7,2.1987094009765187
77,77.0,7,1898,271.14285714285717,7,2.67547857254396
78,78.0,7,1837,262.42857142857144,7,3.3656443823719804
79,79.0,7,1920,274.2857142857143,7,3.1511659796583964
80,80.0,7,1922,274.57142857142856,7,0.012939763390214526
81,81.0,8,1822,227.75,8,3.052713955924599
82,82.0,8,1798,224.75,8,3.995304122385698
83,83.0,8,1731,216.375,8,3.368389002351757
84,84.0,9,1714,190.44444444444446,9,3.6382660918754564
85,85.0,9,1724,191.55555555555554,9,3.98028977573802
86,86.0,9,1728,192.0,9,0.02651716561160171
87,87.0,8,1639,204.875,8,2.9629035154744336
88,88.0,8,1639,204.875,8,2.8929258106682214
89,89.0,8,1684,210.5,8,3.0934946694312844
90,90.0,8,1659,207.375,8,3.4677946606341585
91,91.0,8,1619,202.375,8,2.5555239622741333
92,92.0,8,1617,202.125,8,0.01398573477916418
93,93.0,8,1653,206.625,8,3.1276647298389113
94,94.0,9,1685,187.22222222222223,9,2.977302734945431
95,95.0,9,1694,188.22222222222223,9,3.6384838386533866
96,96.0,9,1708,189.77777777777777,9,2.4328135549138032
97,97.0,8,1696,212.0,8,2.7935866745621385
98,98.0,8,1694,211.75,8,0.026079591453451824
99,99.0,8,1676,209.5,8,4.109658509534648
100,100.0,8,1645,205.625,8,3.2667392484631805
101,101.0,9,1705,189.44444444444446,9,3.381976099651388
102,102.0,9,1693,188.11111111111111,9,3.9390238788912466
103,103.0,9,1686,187.33333333333334,9,3.866383457885876
104,104.0,9,1686,187.33333333333334,9,0.0
105,105.0,9,1643,182.55555555555554,9,3.7603267439411434
106,106.0,9,1679,186.55555555555554,9,3.717062724655749
107,107.0,9,1697,188.55555555555554,9,3.7668189182008356
108,108.0,8,1685,210.625,8,3.29190585499711
109,109.0,8,1697,212.125,8,3.157215696297306
110,110.0,8,1695,211.875,8,0.027482181725842453
111,111.0,9,1733,192.55555555555554,9,2.772694284310796
112,112.0,9,1761,195.66666666666666,9,2.2274090747842568
113,113.0,9,1720,191.11111111111111,9,3.739901739743376
114,114.0,9,1722,191.33333333333334,9,3.906068376211941
115,115.0,9,1688,187.55555555555554,9,3.0423802941274314
116,116.0,9,1689,187.66666666666666,9,0.08189969929940528
117,117.0,9,1743,193.66666666666666,9,4.145550152270295
118,118.0,9,1730,192.22222222222223,9,5.3351809740431655
119,119.0,9,1883,209.22222222222223,9,3.377959230046269
120,120.0,10,1849,184.9,10,5.214233124540178
121,121.0,9,1840,204.44444444444446,9,5.533471247897448
122,122.0,9,1840,204.44444444444446,9,0.0
123,123.0,9,1865,207.22222222222223,9,5.560221874878941
124,124.0,9,1763,195.88888888888889,9,4.498044636569023
125,125.0,9,1737,193.0,9,3.7275330660733967
126,126.0,9,1714,190.44444444444446,9,4.866723613713283
127,127.0,9,1750,194.44444444444446,9,4.878285594872231
128,128.0,9,1749,194.33333333333334,9,0.04479655245419979
129,129.0,9,1666,185.11111111111111,9,4.98305733637505
130,130.0,9,1684,187.11111111111111,9,3.740053695309068
131,131.0,9,1783,198.11111111111111,9,4.336746967954012
132,132.0,9,1762,195.77777777777777,9,5.18663681704028
133,133.0,9,1817,201.88888888888889,9,4.294000231782345
134,134.0,9,1817,201.88888888888889,9,0.0
135,135.0,8,1737,217.125,8,3.6115673057463265
136,136.0,8,1882,235.25,8,4.098001231179057
137,137.0,8,1934,241.75,8,4.701716243319845
138,138.0,9,1783,198.11111111111111,9,3.7852244985164223
139,139.0,9,1709,189.88888888888889,9,5.244136417442692
140,140.0,10,1714,171.4,10,0.007927335649187269
141,141.0,9,1661,184.55555555555554,9,6.207421007696322
142,142.0,10,1690,169.0,10,5.154140071860629
143,143.0,10,1737,173.7,10,4.530238166969518
144,144.0,9,1769,196.55555555555554,9,4.095196507326747
145,145.0,10,1761,176.1,10,4.79249341564726
146,146.0,10,1758,175.8,10,0.031804977007921426
147,147.0,9,1736,192.88888888888889,9,3.5429991728878543
148,148.0,9,1718,190.88888888888889,9,4.142102803908924
149,149.0,8,1708,213.5,8,3.747984594290619
150,150.0,8,1736,217.0,8,3.775924553861999
151,151.0,9,1750,194.44444444444446,9,4.118008152243741
152,152.0,9,1752,194.66666666666666,9,0.03285898540419279
153,153.0,7,1663,237.57142857142858,7,3.100954303506373
154,154.0,7,1682,240.28571428571428,7,3.602186308342463
155,155.0,10,1746,174.6,10,4.140842180257671
156,156.0,10,1715,171.5,10,5.856182702807197
157,157.0,9,1798,199.77777777777777,9,5.842810927467314
158,158.0,9,1797,199.66666666666666,9,0.0037670245075590273
159,159.0,8,1745,218.125,8,3.55561315553524
160,160.0,9,1726,191.77777777777777,9,4.377826535586479
