frame_index,object_id_temp,centroid_x_px,centroid_y_px,area_px,equivalent_diameter_px,bbox_x,bbox_y,bbox_width,bbox_height,mean_intensity
0,1,1253.7761194029852,296.2039800995025,603,27.70854462932514,1229,289,49,15,117.636815920398
0,2,828.1069958847737,302.24691358024694,486,24.875578761936154,809,293,41,19,124.87860082304526
0,3,1031.5397225725094,312.5018915510719,793,31.775445850136926,1009,299,44,25,136.3190416141236
0,4,1204.4470588235295,301.74117647058824,85,10.403141895720198,1195,299,20,6,103.49411764705883
0,5,1089.8985507246377,314.1304347826087,69,9.373021315815206,1083,312,15,6,99.27536231884058
0,6,746.0940598779557,345.2831331045004,20976,163.42421084516448,0,312,1280,84,114.91294813119755
0,7,342.322188449848,320.67173252279633,329,20.466944330257718,328,314,29,14,115.55015197568389
0,8,295.19924812030075,333.5827067669173,266,18.403307281560924,277,328,36,11,120.4172932330827
0,9,835.2692307692307,335.88461538461536,26,5.753627391751592,833,333,6,6,99.6923076923077
0,10,608.0,334.5,2,1.5957691216057308,608,334,1,2,100.5
0,11,627.9565217391304,338.39130434782606,23,5.4115163798060095,626,336,5,6,102.8695652173913
0,12,694.0,339.5,10,3.5682482323055424,693,338,3,4,96.6
0,13,582.2978723404256,342.27659574468083,47,7.735777827895049,579,339,7,9,107.36170212765957
0,14,554.8888888888889,341.6666666666667,9,3.385137501286538,554,340,3,4,98.44444444444444
0,15,1096.4285714285713,341.2857142857143,7,2.985410660720923,1096,340,2,4,96.71428571428571
0,16,233.61065573770492,351.1024590163934,244,17.625846048215095,211,346,42,14,107.61475409836065
0,17,349.0851063829787,348.63829787234044,47,7.735777827895049,345,346,9,6,107.23404255319149
0,18,402.84,352.96,25,5.641895835477563,401,350,5,7,104.52
0,19,444.3333333333333,350.6666666666667,3,1.9544100476116797,444,350,2,2,99.0
0,20,79.3012912482066,365.3845050215208,697,29.790064831759068,0,351,137,33,108.17647058823529
0,21,332.90909090909093,351.8181818181818,11,3.742410318509555,331,351,5,3,104.9090909090909
0,22,413.5,351.5,8,3.1915382432114616,412,351,4,2,99.75
0,23,451.6666666666667,351.6666666666667,3,1.9544100476116797,451,351,2,2,97.33333333333333
0,24,491.1034482758621,355.2413793103448,29,6.076507779746499,489,352,5,8,97.55172413793103
0,25,166.9770992366412,363.4351145038168,393,22.36924542940416,134,353,71,28,114.38931297709924
0,26,267.2857142857143,357.0,7,2.985410660720923,266,356,3,3,96.14285714285714
0,27,205.34615384615384,365.65384615384613,26,5.753627391751592,203,363,6,6,100.46153846153847
0,28,559.0952380952381,370.0833333333333,84,10.341765891652821,552,367,15,7,118.75
0,29,37.0,369.0,9,3.385137501286538,36,368,3,3,98.0
0,30,52.666666666666664,373.3333333333333,3,1.9544100476116797,52,373,2,2,97.33333333333333
0,31,89.83333333333333,373.8333333333333,6,2.763953195770684,89,373,3,3,104.33333333333333
0,32,63.5,375.7142857142857,14,4.222008245644752,62,374,4,4,102.42857142857143
0,33,106.54545454545455,376.8636363636364,22,5.292567428401227,104,375,6,5,105.72727272727273
0,34,69.66666666666667,380.1111111111111,9,3.385137501286538,68,379,4,3,102.11111111111111
1,1,1253.7761194029852,296.2039800995025,603,27.70854462932514,1229,289,49,15,117.636815920398
1,2,828.1069958847737,302.24691358024694,486,24.875578761936154,809,293,41,19,124.87860082304526
1,3,1031.5397225725094,312.5018915510719,793,31.775445850136926,1009,299,44,25,136.3190416141236
1,4,1204.4470588235295,301.74117647058824,85,10.403141895720198,1195,299,20,6,103.49411764705883
