frame,label,centroid_x,centroid_y,area_px,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc,track_id
0,1,872.0332671300894,551.569182389937,6042,378,841,719,916,1
0,2,337.04555722891564,573.4994352409639,5312,437,301,719,361,2
0,3,585.0801356416206,581.6746385864716,5603,441,561,719,617,3
0,4,812.5036900369004,578.1457564575646,542,563,797,594,829,4
0,5,1040.3474025974026,704.625,616,687,1020,719,1056,5
1,1,871.7580976457576,554.3782588086585,6329,374,835,719,918,1
1,2,337.00458211143695,571.6424120234605,5456,432,301,719,361,2
1,3,585.5510063650439,578.9707552038534,5813,436,562,719,620,3
1,4,812.4884488448845,578.0792079207921,606,562,796,596,829,4
1,5,1040.8270106221548,703.432473444613,659,684,1020,719,1057,5
2,1,872.0032674653804,553.3458845495566,6427,372,837,719,918,1
2,2,337.01659751037346,571.3133682121595,5543,430,301,719,361,2
2,3,585.6599693512685,577.7476587774562,5873,434,562,719,621,3
2,4,812.7425897035881,578.7535101404056,641,561,796,598,830,4
2,5,1041.1857764876634,702.6952104499275,689,682,1020,719,1058,5
3,1,872.2456456456456,552.1602102102103,6660,367,832,719,920,1
3,2,336.74174279690794,571.0514757554463,5692,429,298,719,361,2
3,3,585.8133796986256,576.5997681735387,6039,431,560,719,621,3
3,4,814.5529411764705,581.3006535947712,765,561,796,604,832,4
3,5,1041.7256756756756,701.5959459459459,740,681,1020,719,1059,5
4,1,872.2101428155057,552.0712620227339,6862,364,832,719,921,1
4,2,336.70075757575756,570.0426997245179,5808,425,298,719,361,2
4,3,586.6276339070291,574.7818883705968,6217,426,562,719,628,3
4,4,814.457627118644,581.3324641460234,767,561,796,604,832,4
4,5,1042.177976952625,700.5992317541613,781,678,1020,719,1059,5
5,1,872.5922469490308,550.7794687724336,6965,360,832,719,922,1
5,2,336.576045310678,570.2941862402132,6003,420,298,719,361,2
5,3,586.9739526125843,573.6221559705006,6373,423,560,719,630,3
5,4,814.4234122042341,581.2291407222914,803,560,796,604,832,4
5,5,1043.3021420518603,699.3461104847802,887,674,1020,719,1059,5
6,1,872.9080590238366,549.2427639046538,7048,357,832,719,922,1
6,2,336.52971193415635,569.7794238683127,6075,418,298,719,361,2
6,3,587.184686774942,572.8134570765661,6465,421,560,719,632,3
6,4,813.9241293532339,580.8532338308457,804,559,795,604,832,4
6,5,1043.881126173097,699.2200208550573,959,673,1020,719,1059,5
7,1,873.209654980523,547.7870061213133,7188,354,832,719,923,1
7,2,336.3213830465265,567.8787444231995,6276,413,296,719,362,2
7,3,588.0741391941392,570.1183882783882,6825,415,561,719,636,3
7,4,814.4816462736374,581.0311457174638,899,558,795,606,834,4
7,5,1045.2409747292418,699.7509025270758,1108,671,1020,719,1059,5
8,1,873.5836436353607,546.0570955730244,7251,350,832,719,924,1
8,2,336.0842792722749,566.830819468201,6431,410,294,719,363,2
8,3,588.2410986775178,569.7573027176282,6881,414,561,719,637,3
8,4,814.4182424916575,581.0923248053392,899,558,795,606,834,4
8,5,1045.4219858156027,699.1914893617021,1128,669,1021,719,1059,5
9,1,874.3131518352973,542.7322226737099,7383,343,832,719,925,1
9,2,335.5348555874792,564.4649931952215,6613,405,289,719,364,2
9,3,589.6573445936591,567.6936176104111,7223,409,561,719,645,3
9,4,813.9363057324841,580.4904458598726,942,557,793,606,834,4
9,5,1045.5972696245733,698.2192832764505,1172,664,1020,719,1059,5
10,1,874.5307878461953,541.5799946222103,7438,341,832,719,926,1
10,3,335.30446468568016,563.8800955651784,6697,404,287,719,366,2
10,4,589.9478189971463,567.2710966163881,7359,407,561,719,647,3
10,5,813.6157840083074,579.8546209761163,963,555,793,606,834,4
10,6,1045.5232067510549,698.1063291139241,1185,664,1020,719,1059,5
11,1,874.6594787670326,541.2075671385104,7559,339,832,719,926,1
11,2,335.0687490877244,562.5854619763538,6851,400,287,719,367,2
11,3,590.3696707333071,568.6831955922866,7623,404,562,719,648,3
11,4,813.3615934627171,579.3687436159346,979,554,793,606,834,4
11,5,1045.855884707766,696.4955964771817,1249,656,1020,719,1059,5
12,1,874.9832919984336,539.9823782795979,7661,336,832,719,927,1
12,3,334.9969823250467,562.5234947549935,6959,398,286,719,369,2
