frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,raw_junction_pixel_count,normalized_branch_point_count,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,18115,18115.0,1074.9310242291879,1074.9310242291879,3,10,3,13,11,7,1,,,
1,1.0,18863,18863.0,1121.9015869776654,1121.9015869776654,4,14,4,14,13,10,1,46.970562748477505,748.0,1.0
2,2.0,19173,19173.0,1160.5584412271576,1160.5584412271576,5,22,5,13,17,9,6,38.6568542494922,310.0,1.0
3,3.0,19896,19896.0,1155.801081914277,1155.801081914277,4,12,4,14,13,10,1,-4.757359312880681,723.0,-1.0
4,4.0,20435,20435.0,1165.7300141024114,1165.7300141024114,4,16,4,14,13,10,1,9.928932188134468,539.0,0.0
5,5.0,21031,21031.0,1242.1564209736043,1242.1564209736043,6,17,6,14,16,10,3,76.42640687119297,596.0,2.0
6,6.0,21351,21351.0,1317.4406922210662,1317.4406922210662,11,36,11,15,24,15,6,75.2842712474619,320.0,5.0
7,7.0,22296,22296.0,1330.4112549695435,1330.4112549695435,8,27,8,16,23,14,6,12.970562748477278,945.0,-3.0
8,8.0,22590,22590.0,1319.168614282424,1319.168614282424,7,21,7,15,18,11,3,-11.242640687119547,294.0,-1.0
9,9.0,23333,23333.0,1359.9676041556472,1359.9676041556472,6,17,6,16,17,12,3,40.79898987322326,743.0,-1.0
10,10.0,23643,23643.0,1424.9087296526013,1424.9087296526013,8,27,8,16,24,14,6,64.9411254969541,310.0,2.0
11,11.0,24261,24261.0,1451.7665940288707,1451.7665940288707,8,26,8,15,21,11,7,26.85786437626939,618.0,0.0
12,12.0,24700,24700.0,1448.1097397793785,1448.1097397793785,7,29,7,18,21,16,4,-3.6568542494921985,439.0,-1.0
13,13.0,25115,25115.0,1516.9087296526018,1516.9087296526018,8,31,8,19,23,15,5,68.79898987322326,415.0,1.0
14,14.0,25539,25539.0,1568.2640687119288,1568.2640687119288,12,51,12,16,32,14,11,51.35533905932698,424.0,4.0
15,15.0,25951,25951.0,1521.979797464467,1521.979797464467,7,24,7,15,18,13,4,-46.284271247461675,412.0,-5.0
16,16.0,26368,26368.0,1583.1930009000635,1583.1930009000635,11,39,11,13,26,11,10,61.21320343559637,417.0,4.0
17,17.0,26603,26603.0,1589.9503602129441,1589.9503602129441,11,42,11,13,26,11,10,6.757359312880681,235.0,0.0
18,18.0,27024,27024.0,1602.6782822743016,1602.6782822743016,10,31,10,15,24,13,7,12.727922061357503,421.0,-1.0
19,19.0,27504,27504.0,1631.1635636485403,1631.1635636485403,11,28,11,15,24,13,8,28.48528137423864,480.0,1.0
20,20.0,27921,27921.0,1631.335136523795,1631.335136523795,10,23,10,16,23,12,7,0.17157287525469656,417.0,-1.0
21,21.0,28305,28305.0,1655.0630585851522,1655.0630585851522,11,29,11,14,25,12,9,23.727922061357276,384.0,1.0
22,22.0,28544,28544.0,1741.045814642449,1741.045814642449,17,49,17,19,40,16,17,85.98275605729668,239.0,6.0
23,23.0,29133,29133.0,1721.0041840821068,1721.0041840821068,13,38,13,15,30,13,14,-20.041630560342128,589.0,-4.0
