frame,label,centroid_x,centroid_y,area_px,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc,track_id
0,1,864.4393459915611,557.0058016877637,7584,380,797,720,916,1
0,2,337.46453698421755,576.3820117893135,5259,438,302,720,368,2
0,3,585.2551998553083,584.2407306927112,5529,443,561,720,629,3
0,4,1039.8255033557048,705.8573825503356,596,688,1021,720,1055,4
1,1,871.8456718878813,554.4453421269579,6065,376,835,720,917,1
1,2,336.9149836507021,571.3433352567802,5199,433,302,720,359,2
1,3,585.2002168413444,579.4925912540658,5534,438,563,720,618,3
1,5,1040.0501567398119,705.0235109717868,638,686,1020,720,1056,4
1,4,811.878243512974,577.2355289421158,501,563,797,592,828,5
2,1,872.5370464135021,550.7049789029536,5925,376,844,720,917,1
2,2,336.88273615635177,571.0716612377851,5219,433,301,720,359,2
2,3,585.0120087336245,579.3193231441048,5496,438,563,720,616,3
2,5,1040.0501567398119,705.0235109717868,638,686,1020,720,1056,4
2,4,811.4382716049382,577.0802469135803,486,563,797,592,827,5
3,1,872.522125349564,547.6028952130284,6079,369,832,720,919,1
3,2,336.5146221040638,568.1543866312192,5266,431,298,718,357,2
3,3,585.5974457662701,577.9037788663401,5716,433,560,720,621,3
3,5,1041.3997093023256,702.6264534883721,688,682,1022,720,1058,4
3,4,816.4766355140187,583.553738317757,856,561,796,607,837,5
4,1,871.3320097739768,554.2982590103849,6548,366,834,720,920,1
4,2,337.21623716334045,567.8903313311374,5161,427,306,717,357,2
4,3,586.5263604000678,576.2924224444821,5899,428,562,720,628,3
4,5,1042.1767180925667,701.3997194950912,713,680,1024,720,1059,4
4,4,813.7399425287356,580.3635057471264,696,561,796,602,830,5
5,1,873.1938193343899,547.2082408874802,6310,362,836,720,921,1
5,2,336.89263351749537,568.9909760589319,5430,422,304,720,355,2
5,3,585.5002632040708,572.7152131952975,5699,425,564,720,615,3
5,5,1042.320245398773,699.8466257668712,815,676,1020,720,1061,4
5,4,806.5,571.5,312,561,796,583,818,5
6,1,873.558768070396,545.7160590823381,6364,359,836,720,922,1
6,2,336.5753249130514,568.0939044481055,5463,422,302,720,354,2
6,3,585.4263333920085,572.5696180249956,5681,425,565,720,614,3
6,5,1042.320245398773,699.8466257668712,815,676,1020,720,1061,4
6,4,806.5,571.5,312,561,796,583,818,5
7,1,874.7364050797786,536.1019211983067,6142,356,843,718,923,1
7,2,336.42301399745503,562.5119069260135,5501,415,302,720,355,2
7,3,587.7844292310142,570.8758159528737,6281,417,561,720,634,3
7,5,1043.367027677497,697.7196149217809,831,673,1023,720,1062,4
7,4,815.6594724220623,581.4076738609112,834,559,795,606,836,5
8,1,874.9432202026701,535.1407431236931,6217,352,841,720,924,1
8,2,335.9520584566031,560.9766530030298,5611,411,301,720,353,2
8,3,587.807423857868,570.024111675127,6304,416,564,720,633,3
8,5,1044.5350966429298,697.9267548321465,983,670,1023,720,1064,4
8,4,814.6600985221675,581.1822660098522,812,559,795,606,832,5
9,1,875.4773258532024,533.9141343306841,6417,345,841,720,925,1
9,2,335.37696422601135,561.3468739551989,5982,407,291,720,364,2
9,3,589.2879359806734,567.2666465348029,6623,411,565,720,643,3
9,5,1045.4139728884254,693.9113660062566,959,666,1025,720,1066,4
9,4,813.151990349819,579.0892641737032,829,557,793,604,831,5
10,1,875.4734382302539,533.8604143947655,6419,345,841,720,925,1
10,2,335.17091030121486,561.0822100183059,6009,407,289,720,364,2
10,3,589.2828023554281,567.2666465348029,6623,411,565,720,643,3
10,5,1045.4139728884254,693.9113660062566,959,666,1025,720,1066,4
10,4,813.6620947630922,579.6620947630922,802,558,794,604,831,5
11,1,875.4984648449494,535.8219220141234,6514,344,842,720,925,1
