frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,18968,18968.0,1119.1147904132613,1119.1147904132613,4,12,12,10,1,,,
1,1.0,17937,17937.0,1081.8599564173226,1081.8599564173226,4,14,13,10,1,-37.254833995938725,-1031.0,0.0
2,2.0,17764,17764.0,1059.8599564173226,1059.8599564173226,3,13,11,7,1,-22.0,-173.0,-1.0
3,3.0,18605,18605.0,1116.3158005400383,1116.3158005400383,3,15,12,7,1,56.45584412271569,841.0,0.0
4,4.0,19017,19017.0,1109.0020920410536,1109.0020920410536,3,13,11,7,1,-7.313708498984624,412.0,0.0
5,5.0,18566,18566.0,1128.0020920410536,1128.0020920410536,4,14,13,10,1,19.0,-451.0,1.0
6,6.0,18635,18635.0,1131.8305191657998,1131.8305191657998,4,14,13,10,1,3.828427124746213,69.0,0.0
7,7.0,19589,19589.0,1166.21529547665,1166.21529547665,3,13,11,7,1,34.38477631085016,954.0,-1.0
8,8.0,19927,19927.0,1190.2863632885153,1190.2863632885153,4,14,13,10,1,24.071067811865305,338.0,1.0
9,9.0,20810,20810.0,1224.6711395993655,1224.6711395993655,3,13,11,7,1,34.38477631085016,883.0,-1.0
10,10.0,20812,20812.0,1226.2569260369926,1226.2569260369926,3,13,11,7,1,1.585786437627121,2.0,0.0
11,11.0,21147,21147.0,1296.4406922210662,1296.4406922210662,4,14,13,8,2,70.18376618407365,335.0,1.0
12,12.0,22454,22454.0,1432.9087296526013,1432.9087296526013,8,13,17,11,5,136.4680374315351,1307.0,4.0
13,13.0,22288,22288.0,1357.0681092190357,1357.0681092190357,4,14,13,10,1,-75.84062043356562,-166.0,-4.0
14,14.0,22658,22658.0,1370.3818177180203,1370.3818177180203,4,14,13,10,1,13.313708498984624,370.0,0.0
15,15.0,23096,23096.0,1431.6660889654825,1431.6660889654825,5,13,14,11,2,61.28427124746213,438.0,1.0
16,16.0,23451,23451.0,1444.423448278363,1444.423448278363,5,13,14,11,2,12.757359312880453,355.0,0.0
17,17.0,23420,23420.0,1443.2518754031091,1443.2518754031091,5,13,14,11,2,-1.171572875253787,-31.0,0.0
18,18.0,23652,23652.0,1441.2518754031091,1441.2518754031091,4,14,13,8,2,-2.0,232.0,-1.0
19,19.0,23693,23693.0,1438.4945160902287,1438.4945160902287,3,13,11,7,1,-2.757359312880453,41.0,-1.0
20,20.0,24281,24281.0,1484.121933088198,1484.121933088198,4,12,12,10,1,45.62741699796925,588.0,1.0
21,21.0,24724,24724.0,1500.7787873376908,1500.7787873376908,3,13,11,7,1,16.65685424949288,443.0,-1.0
22,22.0,24532,24532.0,1475.0508652763328,1475.0508652763328,3,15,12,7,1,-25.72792206135796,-192.0,0.0
23,23.0,25289,25289.0,1545.4062043356603,1545.4062043356603,4,13,11,7,1,70.35533905932743,757.0,1.0
24,24.0,25964,25964.0,1601.5067093990485,1601.5067093990485,6,15,15,11,2,56.100505063388255,675.0,2.0
25,25.0,25957,25957.0,1583.40620433566,1583.40620433566,3,13,11,7,1,-18.100505063388482,-7.0,-3.0
26,26.0,25860,25860.0,1570.7493500861679,1570.7493500861679,3,13,11,7,1,-12.656854249492199,-97.0,0.0
27,27.0,26837,26837.0,1645.9625535217644,1645.9625535217644,5,13,14,11,2,75.2132034355966,977.0,2.0
28,28.0,26238,26238.0,1574.9503602129441,1574.9503602129441,3,13,11,7,1,-71.01219330882031,-599.0,-2.0
29,29.0,27223,27223.0,1653.0630585851527,1653.0630585851527,5,16,14,8,2,78.11269837220857,985.0,2.0
30,30.0,27228,27228.0,1652.6488450227796,1652.6488450227796,4,14,13,8,2,-0.41421356237310647,5.0,-1.0
