frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
31,31.0,27047,27047.0,1640.9625535217642,1640.9625535217642,3,13,11,7,1,-11.686291501015376,-181.0,-1.0
32,32.0,27516,27516.0,1652.7909806465102,1652.7909806465102,3,13,11,7,1,11.828427124745986,469.0,0.0
33,33.0,28382,28382.0,1728.2468247692261,1728.2468247692261,5,16,14,10,1,75.45584412271592,866.0,2.0
34,34.0,28416,28416.0,1730.0752518939726,1730.0752518939726,5,16,14,10,1,1.8284271247464403,34.0,0.0
35,35.0,28750,28750.0,1751.0041840821066,1751.0041840821066,5,17,16,11,2,20.928932188134013,334.0,0.0
36,36.0,29377,29377.0,1788.5605332682107,1788.5605332682107,4,14,13,10,1,37.55634918610417,627.0,-1.0
37,37.0,29810,29810.0,1818.702668891942,1818.702668891942,5,15,15,11,2,30.142135623731292,433.0,1.0
38,38.0,29751,29751.0,1817.8742417671963,1817.8742417671963,5,15,15,11,2,-0.8284271247457582,-59.0,0.0
39,39.0,30287,30287.0,1844.4305909532998,1844.4305909532998,5,15,15,11,2,26.55634918610349,536.0,0.0
40,40.0,30505,30505.0,1862.3300858899115,1862.3300858899115,6,15,15,11,2,17.899494936611745,218.0,1.0
41,41.0,31216,31216.0,1915.7148622007617,1915.7148622007617,4,12,12,10,1,53.38477631085016,711.0,-2.0
42,42.0,31222,31222.0,1915.1290757631348,1915.1290757631348,4,12,12,10,1,-0.5857864376268935,6.0,0.0
43,43.0,31583,31583.0,1943.756492761104,1943.756492761104,4,12,12,10,1,28.62741699796925,361.0,0.0
44,44.0,32045,32045.0,1988.3128419472087,1988.3128419472087,5,15,15,11,2,44.556349186104626,462.0,1.0
45,45.0,32034,32034.0,1988.4844148224627,1988.4844148224627,5,15,15,11,2,0.17157287525401443,-11.0,0.0
46,46.0,32770,32770.0,2027.5971131946696,2027.5971131946696,6,16,17,12,3,39.11269837220698,736.0,1.0
