frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,17645,17645.0,1053.2741699796957,1053.2741699796957,3,13,11,7,1,,,
1,1.0,17802,17802.0,1061.0315292925764,1061.0315292925764,3,13,11,7,1,7.757359312880681,157.0,0.0
2,2.0,17769,17769.0,1059.8599564173226,1059.8599564173226,3,13,11,7,1,-1.171572875253787,-33.0,0.0
3,3.0,18510,18510.0,1110.901586977665,1110.901586977665,3,15,12,7,1,51.041630560342355,741.0,0.0
4,4.0,18957,18957.0,1093.516810666815,1093.516810666815,3,13,11,7,1,-17.38477631084993,447.0,0.0
5,5.0,18420,18420.0,1112.8305191657998,1112.8305191657998,3,13,11,7,1,19.31370849898485,-537.0,0.0
6,6.0,18462,18462.0,1114.0020920410536,1114.0020920410536,3,13,11,7,1,1.171572875253787,42.0,0.0
7,7.0,19680,19680.0,1183.8721497261422,1183.8721497261422,3,13,11,7,1,69.87005768508857,1218.0,0.0
8,8.0,19885,19885.0,1178.801081914277,1178.801081914277,3,13,11,7,1,-5.071067811865305,205.0,0.0
9,9.0,20601,20601.0,1214.4284989122464,1214.4284989122464,3,13,11,7,1,35.627416997969476,716.0,0.0
10,10.0,20595,20595.0,1210.4284989122464,1210.4284989122464,3,13,11,7,1,-4.0,-6.0,0.0
11,11.0,21355,21355.0,1325.754400720051,1325.754400720051,5,14,13,8,2,115.32590180780471,760.0,2.0
12,12.0,21917,21917.0,1351.5533905932746,1351.5533905932746,5,14,13,8,2,25.79898987322349,562.0,0.0
13,13.0,22306,22306.0,1359.310749906155,1359.310749906155,4,14,13,10,1,7.757359312880453,389.0,-1.0
14,14.0,22330,22330.0,1351.8254685319164,1351.8254685319164,4,14,13,10,1,-7.485281374238639,24.0,0.0
15,15.0,23285,23285.0,1455.6660889654822,1455.6660889654822,6,14,16,12,3,103.84062043356585,955.0,2.0
16,16.0,23340,23340.0,1438.4945160902284,1438.4945160902284,5,13,14,11,2,-17.171572875253787,55.0,-1.0
17,17.0,23446,23446.0,1444.9087296526016,1444.9087296526016,5,13,14,11,2,6.4142135623731065,106.0,0.0
18,18.0,23665,23665.0,1442.837661840736,1442.837661840736,4,14,13,8,2,-2.0710678118655323,219.0,-1.0
