frame,label,centroid_x,centroid_y,area_px,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc,track_id
0,1,871.9981044287438,551.3300017232466,5803,380,843,720,916,1
0,2,337.58842627960274,576.6224216959511,5236,438,302,720,368,2
0,3,585.1161643835617,582.0029223744292,5475,441,561,720,617,3
0,4,813.2915887850468,579.2056074766355,535,564,798,595,830,4
0,5,1039.8255033557048,705.8573825503356,596,688,1021,720,1055,5
1,1,872.4613701397071,551.0988049149975,5941,376,844,720,917,1
1,2,336.9142472601423,571.3160930590271,5201,433,302,720,359,2
1,3,585.1940028901735,579.4510476878613,5536,438,563,720,618,3
1,4,811.4794238683128,577.0267489711935,486,563,797,592,827,4
1,5,1039.9968652037617,705.0203761755486,638,686,1020,720,1056,5
2,1,872.5341772151899,550.7049789029536,5925,376,844,720,917,1
2,2,336.8820149396667,571.0511396284237,5221,433,301,720,359,2
2,3,585.013093289689,579.2875068194218,5499,438,563,720,616,3
2,4,811.4382716049382,577.0802469135803,486,563,797,592,827,4
2,5,1039.9968652037617,705.0203761755486,638,686,1020,720,1056,5
3,1,871.9248747913189,550.1679465776294,5990,374,832,720,918,1
3,2,336.5335105373078,568.1824568065313,5267,431,298,718,357,2
3,3,585.6236860546601,577.8577435178696,5708,433,560,720,621,3
3,4,816.4701754385965,583.5649122807017,855,561,796,607,837,4
3,5,1041.404347826087,702.6202898550724,690,682,1022,720,1058,5
4,1,871.2310854011265,554.6418024052367,6569,366,834,720,920,1
4,2,337.25946676970636,568.3137557959815,5176,427,306,718,357,2
4,3,586.7396174392555,574.5552300534207,5803,428,570,720,628,3
4,4,813.7399425287356,580.3635057471264,696,561,796,602,830,4
4,5,1042.1767180925667,701.3997194950912,713,680,1024,720,1059,5
5,1,873.7516223231668,544.0264438676185,6164,363,843,720,921,1
5,2,336.7711086637298,569.0455212922174,5448,422,303,720,355,2
5,3,585.449137627596,572.3787398803238,5682,425,565,720,614,3
5,4,806.5,571.5,312,561,796,583,818,4
5,5,1042.3230958230959,699.8108108108108,814,676,1020,720,1061,5
6,1,873.9853083629318,543.1390054891831,6194,361,843,720,921,1
6,2,336.57878343715646,568.424697691462,5458,422,302,720,354,2
6,3,585.4252287121745,572.4947220267418,5684,425,565,720,614,3
6,4,806.5,571.5,312,561,796,583,818,4
6,5,1042.3230958230959,699.8108108108108,814,676,1020,720,1061,5
