frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,18545,18545.0,1121.9432175380077,1121.9432175380077,4,12,12,10,1,,,
1,1.0,19324,19324.0,1167.4284989122464,1167.4284989122464,5,13,14,11,2,45.48528137423864,779.0,1.0
2,2.0,19675,19675.0,1211.4995667241117,1211.4995667241117,8,12,21,10,10,44.071067811865305,351.0,3.0
3,3.0,20357,20357.0,1193.4284989122464,1193.4284989122464,5,13,14,11,2,-18.071067811865305,682.0,-3.0
4,4.0,20914,20914.0,1232.6711395993655,1232.6711395993655,7,12,17,11,5,39.24264068711909,557.0,2.0
5,5.0,21508,21508.0,1277.854905783439,1277.854905783439,9,13,20,11,6,45.18376618407365,594.0,2.0
6,6.0,21763,21763.0,1310.0975464705589,1310.0975464705589,10,14,22,12,7,32.242640687119774,255.0,1.0
7,7.0,22595,22595.0,1356.6955262170052,1356.6955262170052,12,15,27,13,10,46.5979797464463,832.0,2.0
8,8.0,22962,22962.0,1362.1097397793785,1362.1097397793785,9,13,20,11,6,5.414213562373334,367.0,-3.0
9,9.0,23687,23687.0,1373.695526217005,1373.695526217005,7,15,18,13,4,11.585786437626439,725.0,-2.0
10,10.0,24015,24015.0,1435.636651713959,1435.636651713959,12,14,25,12,9,61.9411254969541,328.0,5.0
11,11.0,24579,24579.0,1452.2224381515864,1452.2224381515864,10,13,22,11,7,16.58578643762735,564.0,-2.0
12,12.0,25152,25152.0,1483.293505963452,1483.293505963452,10,15,21,13,6,31.071067811865532,573.0,0.0
13,13.0,25569,25569.0,1551.2640687119288,1551.2640687119288,14,18,33,18,14,67.97056274847682,417.0,4.0
14,14.0,25871,25871.0,1594.1341263970176,1594.1341263970176,19,14,34,14,14,42.870057685088796,302.0,5.0
15,15.0,26167,26167.0,1510.6072144624368,1510.6072144624368,9,16,20,14,5,-83.52691193458077,296.0,-10.0
16,16.0,26580,26580.0,1568.7493500861674,1568.7493500861674,13,14,25,12,9,58.14213562373061,413.0,4.0
17,17.0,26859,26859.0,1572.2640687119288,1572.2640687119288,11,15,24,13,8,3.514718625761361,279.0,-2.0
18,18.0,27312,27312.0,1595.1341263970176,1595.1341263970176,14,15,24,15,7,22.870057685088796,453.0,3.0
19,19.0,27848,27848.0,1610.8914857098987,1610.8914857098987,9,17,22,15,6,15.757359312881135,536.0,-5.0
20,20.0,28293,28293.0,1612.0630585851522,1612.0630585851522,8,18,21,14,5,1.1715728752535597,445.0,-1.0
21,21.0,28920,28920.0,1655.3473298326144,1655.3473298326144,9,16,23,14,7,43.28427124746213,627.0,1.0
22,22.0,29124,29124.0,1721.7026688919414,1721.7026688919414,14,21,32,18,10,66.35533905932698,204.0,5.0
23,23.0,29700,29700.0,1771.9869401394035,1771.9869401394035,17,18,36,16,17,50.28427124746213,576.0,3.0
24,24.0,30136,30136.0,1797.643794388896,1797.643794388896,16,16,32,16,16,25.656854249492426,436.0,-1.0
25,25.0,30591,30591.0,1819.1290757631346,1819.1290757631346,17,15,36,15,18,21.48528137423864,455.0,1.0
26,26.0,30793,30793.0,1840.4427842621194,1840.4427842621194,16,15,36,15,17,21.31370849898485,202.0,-1.0
27,27.0,31210,31210.0,1817.058007951269,1817.058007951269,12,17,34,15,16,-23.384776310850384,417.0,-4.0
28,28.0,31549,31549.0,1866.2712113868658,1866.2712113868658,15,15,36,15,18,49.213203435596824,339.0,3.0
29,29.0,32098,32098.0,1879.2712113868658,1879.2712113868658,15,21,39,17,15,13.0,549.0,0.0
30,30.0,32361,32361.0,1934.8275605729698,1934.8275605729698,18,20,46,16,22,55.556349186103944,263.0,3.0
31,31.0,32717,32717.0,1940.8275605729693,1940.8275605729693,20,17,40,17,20,5.999999999999545,356.0,2.0
