frame,label,centroid_x,centroid_y,area_px,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc,track_id
0,1,871.9836552748885,551.9838203731221,6057,378,841,720,916,1
0,2,337.0626057529611,573.6909193457417,5319,437,301,720,361,2
0,3,585.0312944523471,582.1874110953058,5624,441,561,720,617,3
0,4,812.5036900369004,578.1457564575646,542,563,797,594,829,4
0,5,1040.0469483568074,705.1424100156495,639,687,1020,720,1056,5
1,1,871.6548311076198,555.3093479968578,6365,374,835,720,918,1
1,2,337.01940681069203,571.8042841450018,5462,432,301,720,361,2
1,3,585.5022283167638,579.4748028796708,5834,436,562,720,620,3
1,4,812.4884488448845,578.0792079207921,606,562,796,596,829,4
1,5,1040.5293255131965,703.9574780058651,682,684,1020,720,1057,5
2,1,871.9111592632719,554.2176133725429,6461,372,837,720,918,1
2,2,337.03117678861054,571.4730582086862,5549,430,301,720,361,2
2,3,585.6112996267391,578.2509331523584,5894,434,562,720,621,3
2,4,812.7425897035881,578.7535101404056,641,561,796,598,830,4
2,5,1040.8890449438202,703.2219101123595,712,682,1020,720,1058,5
3,1,872.1277802657113,553.1315121659949,6699,367,832,720,920,1
3,2,336.757676785401,571.2331988068082,5699,429,298,720,361,2
3,3,585.7609699769054,577.1400527878588,6062,431,560,720,621,3
3,4,814.5529411764705,581.3006535947712,765,561,796,604,832,4
3,5,1041.43250327654,702.1205766710353,763,681,1020,720,1059,5
4,1,872.0916847433116,553.3449023861172,6915,364,832,720,921,1
4,2,336.718755372185,570.2731648616125,5817,425,298,720,361,2
4,3,586.5817569733889,575.267393395319,6238,426,562,720,628,3
4,4,814.457627118644,581.3324641460234,767,561,796,604,832,4
4,5,1041.9776119402984,701.0323383084577,804,678,1020,720,1060,5
5,1,872.4758571428572,551.7431428571429,7000,360,832,720,922,1
5,2,336.6036889332004,570.8775340644733,6018,420,298,720,361,2
5,3,586.9085508832266,574.0497108019384,6397,423,560,720,630,3
5,4,814.3165644171779,581.0503067484663,815,560,796,605,832,4
5,5,1042.8757062146892,699.1841807909605,885,674,1020,720,1062,5
6,1,872.8039796782388,550.1282811176968,7086,357,832,720,923,1
