frame,time_min,object_count,mean_area_px,total_area_px,object_density_per_px2,mean_area_um2,total_area_um2,object_count_growth_per_min,total_area_growth_um2_per_min
56,56.0,6,269.1666666666667,1615,6.510416666666667e-06,269.1666666666667,1615.0,0.0,0.0
57,57.0,5,329.0,1645,5.4253472222222224e-06,329.0,1645.0,-1.0,30.0
58,58.0,8,193.5,1548,8.680555555555556e-06,193.5,1548.0,3.0,-97.0
59,59.0,8,193.5,1548,8.680555555555556e-06,193.5,1548.0,0.0,0.0
60,60.0,8,197.5,1580,8.680555555555556e-06,197.5,1580.0,0.0,32.0
61,61.0,8,203.125,1625,8.680555555555556e-06,203.125,1625.0,0.0,45.0
62,62.0,8,203.125,1625,8.680555555555556e-06,203.125,1625.0,0.0,0.0
63,63.0,7,234.85714285714286,1644,7.595486111111111e-06,234.85714285714286,1644.0,-1.0,19.0
64,64.0,8,211.25,1690,8.680555555555556e-06,211.25,1690.0,1.0,46.0
65,65.0,8,224.5,1796,8.680555555555556e-06,224.5,1796.0,0.0,106.0
66,66.0,9,192.33333333333334,1731,9.765625e-06,192.33333333333334,1731.0,1.0,-65.0
67,67.0,8,211.75,1694,8.680555555555556e-06,211.75,1694.0,-1.0,-37.0
68,68.0,8,211.5,1692,8.680555555555556e-06,211.5,1692.0,0.0,-2.0
69,69.0,9,183.0,1647,9.765625e-06,183.0,1647.0,1.0,-45.0
70,70.0,9,185.55555555555554,1670,9.765625e-06,185.55555555555554,1670.0,0.0,23.0
71,71.0,8,221.875,1775,8.680555555555556e-06,221.875,1775.0,-1.0,105.0
72,72.0,8,225.375,1803,8.680555555555556e-06,225.375,1803.0,0.0,28.0
73,73.0,8,233.0,1864,8.680555555555556e-06,233.0,1864.0,0.0,61.0
74,74.0,8,233.0,1864,8.680555555555556e-06,233.0,1864.0,0.0,0.0
75,75.0,8,234.625,1877,8.680555555555556e-06,234.625,1877.0,0.0,13.0
76,76.0,7,274.57142857142856,1922,7.595486111111111e-06,274.57142857142856,1922.0,-1.0,45.0
77,77.0,7,271.14285714285717,1898,7.595486111111111e-06,271.14285714285717,1898.0,0.0,-24.0
78,78.0,7,262.42857142857144,1837,7.595486111111111e-06,262.42857142857144,1837.0,0.0,-61.0
79,79.0,7,274.2857142857143,1920,7.595486111111111e-06,274.2857142857143,1920.0,0.0,83.0
80,80.0,7,274.57142857142856,1922,7.595486111111111e-06,274.57142857142856,1922.0,0.0,2.0
81,81.0,8,227.75,1822,8.680555555555556e-06,227.75,1822.0,1.0,-100.0
82,82.0,8,224.75,1798,8.680555555555556e-06,224.75,1798.0,0.0,-24.0
83,83.0,8,216.375,1731,8.680555555555556e-06,216.375,1731.0,0.0,-67.0
84,84.0,9,190.44444444444446,1714,9.765625e-06,190.44444444444446,1714.0,1.0,-17.0
85,85.0,9,191.55555555555554,1724,9.765625e-06,191.55555555555554,1724.0,0.0,10.0
86,86.0,9,192.0,1728,9.765625e-06,192.0,1728.0,0.0,4.0
87,87.0,8,204.875,1639,8.680555555555556e-06,204.875,1639.0,-1.0,-89.0
88,88.0,8,204.875,1639,8.680555555555556e-06,204.875,1639.0,0.0,0.0
89,89.0,8,210.5,1684,8.680555555555556e-06,210.5,1684.0,0.0,45.0
90,90.0,8,207.375,1659,8.680555555555556e-06,207.375,1659.0,0.0,-25.0
91,91.0,8,202.375,1619,8.680555555555556e-06,202.375,1619.0,0.0,-40.0
92,92.0,8,202.125,1617,8.680555555555556e-06,202.125,1617.0,0.0,-2.0
93,93.0,8,206.625,1653,8.680555555555556e-06,206.625,1653.0,0.0,36.0
94,94.0,9,187.22222222222223,1685,9.765625e-06,187.22222222222223,1685.0,1.0,32.0
95,95.0,9,188.22222222222223,1694,9.765625e-06,188.22222222222223,1694.0,0.0,9.0
96,96.0,9,189.77777777777777,1708,9.765625e-06,189.77777777777777,1708.0,0.0,14.0
97,97.0,8,212.0,1696,8.680555555555556e-06,212.0,1696.0,-1.0,-12.0
98,98.0,8,211.75,1694,8.680555555555556e-06,211.75,1694.0,0.0,-2.0
99,99.0,8,209.5,1676,8.680555555555556e-06,209.5,1676.0,0.0,-18.0
100,100.0,8,205.625,1645,8.680555555555556e-06,205.625,1645.0,0.0,-31.0
101,101.0,9,189.44444444444446,1705,9.765625e-06,189.44444444444446,1705.0,1.0,60.0
102,102.0,9,188.11111111111111,1693,9.765625e-06,188.11111111111111,1693.0,0.0,-12.0
103,103.0,9,187.33333333333334,1686,9.765625e-06,187.33333333333334,1686.0,0.0,-7.0
104,104.0,9,187.33333333333334,1686,9.765625e-06,187.33333333333334,1686.0,0.0,0.0
