frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,19404,19404.0,1129.9432175380075,1129.9432175380075,4,12,12,10,1,,,
1,1.0,17937,17937.0,1081.8599564173226,1081.8599564173226,4,14,13,10,1,-48.08326112068494,-1467.0,0.0
2,2.0,17764,17764.0,1059.8599564173226,1059.8599564173226,3,13,11,7,1,-22.0,-173.0,-1.0
3,3.0,18605,18605.0,1116.3158005400383,1116.3158005400383,3,15,12,7,1,56.45584412271569,841.0,0.0
4,4.0,19017,19017.0,1109.0020920410536,1109.0020920410536,3,13,11,7,1,-7.313708498984624,412.0,0.0
5,5.0,19646,19646.0,1191.913780286485,1191.913780286485,5,13,14,11,2,82.91168824543138,629.0,2.0
6,6.0,18635,18635.0,1131.8305191657998,1131.8305191657998,4,14,13,10,1,-60.083261120685165,-1011.0,-1.0
7,7.0,19589,19589.0,1166.21529547665,1166.21529547665,3,13,11,7,1,34.38477631085016,954.0,-1.0
8,8.0,19927,19927.0,1190.2863632885153,1190.2863632885153,4,14,13,10,1,24.071067811865305,338.0,1.0
9,9.0,21138,21138.0,1272.1980515339467,1272.1980515339467,4,14,13,10,1,81.91168824543138,1211.0,0.0
10,10.0,20812,20812.0,1226.2569260369926,1226.2569260369926,3,13,11,7,1,-45.9411254969541,-326.0,-1.0
11,11.0,21147,21147.0,1296.4406922210662,1296.4406922210662,4,14,13,8,2,70.18376618407365,335.0,1.0
12,12.0,21899,21899.0,1351.1391770309015,1351.1391770309015,5,14,13,8,2,54.698484809835236,752.0,1.0
13,13.0,22288,22288.0,1357.0681092190357,1357.0681092190357,4,14,13,10,1,5.92893218813424,389.0,-1.0
14,14.0,22658,22658.0,1370.3818177180203,1370.3818177180203,4,14,13,10,1,13.313708498984624,370.0,0.0
15,15.0,23096,23096.0,1431.6660889654825,1431.6660889654825,5,13,14,11,2,61.28427124746213,438.0,1.0
16,16.0,23451,23451.0,1444.423448278363,1444.423448278363,5,13,14,11,2,12.757359312880453,355.0,0.0
17,17.0,23420,23420.0,1443.2518754031091,1443.2518754031091,5,13,14,11,2,-1.171572875253787,-31.0,0.0
18,18.0,23652,23652.0,1441.2518754031091,1441.2518754031091,4,14,13,8,2,-2.0,232.0,-1.0
19,19.0,23693,23693.0,1438.4945160902287,1438.4945160902287,3,13,11,7,1,-2.757359312880453,41.0,-1.0
20,20.0,24281,24281.0,1484.121933088198,1484.121933088198,4,12,12,10,1,45.62741699796925,588.0,1.0
21,21.0,24724,24724.0,1500.7787873376908,1500.7787873376908,3,13,11,7,1,16.65685424949288,443.0,-1.0
