frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,18235,18235.0,1145.6295090390229,1145.6295090390229,6,43,31,10,3,,,
1,1.0,18626,18626.0,1177.3868683519036,1177.3868683519036,8,45,35,12,5,31.75735931288068,391.0,2.0
2,2.0,18445,18445.0,1145.5584412271573,1145.5584412271573,6,43,31,10,3,-31.828427124746213,-181.0,-2.0
3,3.0,19188,19188.0,1213.0853531617383,1213.0853531617383,6,46,32,12,3,67.526911934581,743.0,0.0
4,4.0,19665,19665.0,1220.399061660723,1220.399061660723,6,44,33,13,4,7.313708498984624,477.0,0.0
5,5.0,19293,19293.0,1242.8427124746192,1242.8427124746192,7,50,36,13,4,22.443650813896284,-372.0,1.0
6,6.0,19366,19366.0,1270.7422074112308,1270.7422074112308,8,47,36,14,5,27.899494936611518,73.0,1.0
7,7.0,20128,20128.0,1299.3696244092002,1299.3696244092002,6,35,28,13,4,28.627416997969476,762.0,-2.0
8,8.0,20419,20419.0,1301.7838379715736,1301.7838379715736,8,35,31,15,5,2.414213562373334,291.0,2.0
9,9.0,21241,21241.0,1319.9259735953044,1319.9259735953044,7,30,27,12,4,18.142135623730837,822.0,-1.0
10,10.0,21242,21242.0,1315.0975464705584,1315.0975464705584,6,32,27,11,4,-4.828427124745986,1.0,-1.0
11,11.0,21576,21576.0,1393.8670990922585,1393.8670990922585,8,34,31,15,6,78.76955262170009,334.0,2.0
12,12.0,22281,22281.0,1472.6072144624363,1472.6072144624363,9,33,30,15,6,78.74011537017782,705.0,1.0
13,13.0,22670,22670.0,1439.666088965482,1439.666088965482,6,32,25,12,3,-32.94112549695433,389.0,-3.0
14,14.0,22973,22973.0,1446.5655839020933,1446.5655839020933,6,30,24,12,3,6.8994949366112905,303.0,0.0
15,15.0,23350,23350.0,1546.648845022779,1546.648845022779,9,22,26,14,8,100.08326112068562,377.0,3.0
16,16.0,23644,23644.0,1543.8498551495557,1543.8498551495557,9,17,22,13,6,-2.798989873223263,294.0,0.0
17,17.0,23610,23610.0,1539.092495836675,1539.092495836675,9,17,22,13,6,-4.757359312880681,-34.0,0.0
