frame,label,centroid_x,centroid_y,area_px,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc,track_id
0,1,865.8007336757154,553.3088774761555,6815,378,797,711,916,1
0,2,336.96230346656563,572.4667550672476,5279,437,301,711,366,2
0,3,585.6223953614785,579.45153107447,5519,441,570,711,617,3
0,4,1042.015625,700.2075892857143,448,687,1023,711,1056,4
1,1,865.3753537068478,553.4073288058856,7068,374,796,711,918,1
1,2,336.9329896907216,570.8549337260678,5432,432,301,711,366,2
1,3,585.960437272254,577.5684539302447,5763,436,563,711,620,3
1,4,1042.376,699.166,500,684,1022,711,1057,4
2,1,865.418353202107,553.0433878569448,7214,372,796,711,918,1
2,2,336.9284420289855,570.5625,5520,430,301,711,366,2
2,3,586.1347372025338,576.5172059578839,5841,434,564,711,622,3
2,4,1042.7575187969924,698.4548872180451,532,682,1022,711,1058,4
3,1,865.5961589757269,551.9247799413176,7498,367,796,711,920,1
3,2,336.6485288904644,569.6423254165189,5642,429,298,711,366,2
3,3,586.4939899833055,574.6726210350585,5990,431,567,711,623,3
3,4,1043.5121951219512,697.287456445993,574,681,1023,711,1059,4
4,1,865.7093354021205,552.5871476596845,7734,364,796,711,921,1
4,2,336.56687565308255,568.253396029258,5742,425,298,711,366,2
4,3,587.1974408811144,573.137674117266,6174,426,567,711,630,3
4,4,1044.0113452188007,696.257698541329,617,678,1022,711,1060,4
5,1,865.6310667340748,552.030839231547,7912,360,796,711,922,1
5,2,336.52003424657534,566.1553082191781,5840,420,298,711,366,2
5,3,588.0684523809524,572.0386904761905,6384,423,567,711,637,3
5,4,1045.1717612809316,694.2037845705968,687,674,1025,711,1062,4
6,1,866.0571105811472,550.4398142337141,7967,357,795,711,922,1
6,2,336.4819460925581,565.3649771147652,5899,418,298,711,366,2
6,3,588.292214827426,570.9673425166383,6461,421,568,711,637,3
6,4,1045.3056338028168,693.6915492957746,710,673,1025,711,1062,4
7,1,866.0488970588235,549.125,8160,354,795,711,923,1
7,2,336.17384916748284,564.1201436500163,6126,413,296,711,366,2
7,3,588.8094400469071,568.9080914687775,6822,415,561,711,639,3
7,4,1045.5412234042553,692.9720744680851,752,672,1022,711,1063,4
8,1,866.4229085603113,547.6145428015565,8224,350,795,711,924,1
8,2,335.8857006217121,562.924597481269,6273,410,294,711,366,2
8,3,589.1703208944388,568.3889937563525,6887,414,563,711,641,3
8,4,1046.0,691.9937888198758,805,669,1022,711,1064,4
9,1,866.8520900321544,544.7177563415505,8397,343,793,711,925,1
9,2,335.2622008082064,560.1103512589369,6434,405,289,711,366,2
9,3,590.0330902972519,565.646803140774,7132,409,564,711,645,3
9,4,1047.3737596471885,689.6372657111356,907,664,1022,711,1067,4
10,1,866.9138073340408,543.8602759108595,8481,341,793,711,926,1
10,3,334.9938518290808,559.2934214571166,6506,404,287,711,365,2
10,4,590.3114731464863,564.7483087118597,7243,407,564,711,647,3
10,5,1047.7922077922078,689.0465367965368,924,664,1024,711,1068,4
11,1,866.9846279259345,542.905205543263,8587,339,793,711,926,1
11,2,334.71024522340906,557.7726794042425,6647,400,287,711,364,2
11,3,590.5501964503455,563.7539628776589,7381,404,561,711,648,3
11,4,1048.307615230461,687.9308617234469,998,661,1023,711,1070,4
12,1,867.3034419247151,541.6666282951537,8687,336,793,711,927,1
12,3,334.44490706319704,556.8026765799257,6725,398,286,711,362,2
12,2,590.9087673038892,560.9825972313777,7585,397,562,711,649,3
12,4,1049.095328884652,686.5319351763584,1049,658,1024,711,1071,4
13,1,867.661911231884,540.2377717391304,8832,331,792,711,927,1
13,2,334.3440891332658,554.6126465055709,6911,391,285,711,369,2
13,3,590.9301110385369,559.8225996080993,7655,395,562,711,649,3
13,4,1049.7888589398024,685.256064690027,1113,656,1022,711,1073,4
14,1,867.6376649519124,539.932229926191,8942,329,792,711,928,1
14,2,334.1218709769704,553.7233586039193,6991,389,284,711,368,2
14,3,591.1600360499549,558.7255053431184,7767,393,561,711,649,3
14,4,1050.0521201413428,684.7809187279152,1132,656,1022,711,1074,4
15,1,867.7816792202038,538.8780460788657,9028,327,791,711,928,1
15,2,334.0641353811149,552.5328498293516,7032,388,284,711,365,2
15,3,591.2936769933976,556.8111985779584,7876,388,562,711,649,3
15,4,1050.7708333333333,683.7734375,1152,653,1026,711,1074,4
16,1,868.3019748263889,536.0116102430555,9216,319,791,711,929,1
16,3,333.88028764805415,551.5155104342922,7092,386,283,711,365,2
16,2,591.5101913217457,555.0495185694635,7997,384,562,711,650,3
16,4,1050.7620232172471,683.3457711442786,1206,652,1022,711,1075,4
17,1,868.432125241261,535.067445850311,9326,317,790,711,930,1
17,3,333.7419759977672,550.8589171085682,7166,384,282,711,365,2
17,2,591.5276294548615,554.3561405687321,8053,382,562,711,650,3
17,4,1051.318805488297,682.4245359160614,1239,650,1023,711,1076,4
18,1,868.5998516005936,534.3524485902057,9434,315,790,711,931,1
18,2,333.66335285305735,549.6574969358572,7343,379,282,711,366,2
18,3,591.7348865726548,552.8098099325567,8155,380,562,711,650,3
18,4,1051.6343577620173,681.725768321513,1269,648,1023,711,1076,4
19,1,868.903633326373,533.3200041762373,9578,312,790,711,931,1
19,2,333.61280814576634,546.9907556270097,7464,373,282,711,367,2
19,3,592.0323504834666,549.5659543989495,8377,373,561,711,651,3
19,4,1052.3840304182509,680.6692015209126,1315,646,1024,711,1078,4
20,1,868.9634435176604,532.0956647101225,9711,308,790,711,933,1
20,2,333.1550550026192,545.2018072289156,7636,369,278,711,368,2
20,3,592.2869462492616,548.7008860011813,8465,371,562,711,652,3
20,4,1053.2582972582973,678.9776334776335,1386,642,1023,711,1078,4
21,1,869.2284579344062,530.4077205133428,9818,304,789,711,933,1
21,3,333.1092154581879,543.6555512472535,7737,367,278,711,366,2
21,2,592.7955334413331,546.5869011802823,8642,366,562,711,655,3
21,4,1053.758426966292,677.9796348314607,1424,639,1023,711,1078,4
22,1,869.3336706811051,529.3974294099787,9881,302,788,711,934,1
22,3,332.83887893524445,542.5538776554902,7814,365,276,711,366,2
22,2,593.1589684813754,545.7156446991404,8725,364,565,711,657,3
22,4,1054.0096818810512,677.4190871369294,1446,637,1023,711,1078,4
23,1,869.6538805525191,527.0084467852529,10063,296,787,711,936,1
