frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,18953,18953.0,1122.1147904132615,1122.1147904132615,4,12,12,10,1,,,
1,1.0,19665,19665.0,1211.884343034962,1211.884343034962,8,13,20,11,8,89.76955262170054,712.0,4.0
2,2.0,20156,20156.0,1271.5117600329315,1271.5117600329315,12,13,29,11,17,59.627416997969476,491.0,4.0
3,3.0,22930,22930.0,1302.3818177180203,1302.3818177180203,14,16,32,12,16,30.870057685088796,2774.0,2.0
4,4.0,23761,23761.0,1320.724963468528,1320.724963468528,12,14,31,12,16,18.343145750507574,831.0,-2.0
5,5.0,29157,29157.0,1278.9259735953046,1278.9259735953046,7,13,17,11,4,-41.79898987322326,5396.0,-5.0
6,6.0,29159,29159.0,1583.489465456345,1583.489465456345,31,15,68,14,40,304.56349186104035,2.0,24.0
7,7.0,29387,29387.0,1648.9158723275384,1648.9158723275384,38,19,71,19,40,65.42640687119342,228.0,7.0
8,8.0,29678,29678.0,1641.18795026618,1641.18795026618,34,17,64,17,35,-7.727922061358413,291.0,-4.0
9,9.0,30317,30317.0,1699.472221513642,1699.472221513642,34,17,67,17,40,58.2842712474619,639.0,0.0
10,10.0,30552,30552.0,1773.898628384835,1773.898628384835,40,18,84,18,55,74.4264068711932,235.0,6.0
11,11.0,30874,30874.0,1824.9402589451772,1824.9402589451772,39,19,86,19,55,51.04163056034213,322.0,-1.0
12,12.0,31357,31357.0,1886.0823945689085,1886.0823945689085,40,21,82,20,54,61.14213562373129,483.0,1.0
13,13.0,31700,31700.0,1873.1828996322968,1873.1828996322968,40,27,83,24,50,-12.899494936611745,343.0,0.0
14,14.0,31892,31892.0,1932.2955980045049,1932.2955980045049,42,22,94,20,66,59.112698372208115,192.0,2.0
15,15.0,32127,32127.0,1883.6681810065352,1883.6681810065352,38,22,83,22,54,-48.6274169979697,235.0,-4.0
16,16.0,32497,32497.0,1931.538238691624,1931.538238691624,47,21,90,21,59,47.870057685088796,370.0,9.0
17,17.0,32700,32700.0,1901.9818895055198,1901.9818895055198,39,22,80,20,48,-29.55634918610417,203.0,-8.0
18,18.0,33060,33060.0,1902.052957317385,1902.052957317385,38,26,73,22,39,0.07106781186530498,360.0,-1.0
19,19.0,33505,33505.0,1937.3250352560276,1937.3250352560276,36,24,75,24,43,35.2720779386425,445.0,-2.0
20,20.0,39463,39463.0,1624.347329832614,1624.347329832614,8,16,20,16,4,-312.9777054234137,5958.0,-28.0
21,21.0,39692,39692.0,2099.935208311294,2099.935208311294,42,20,85,20,55,475.58787847868007,229.0,34.0
22,22.0,45526,45526.0,1679.016377390926,1679.016377390926,8,16,20,16,4,-420.918830920368,5834.0,-34.0
23,23.0,45587,45587.0,2697.3880938411794,2697.3880938411794,82,28,156,27,107,1018.3717164502534,61.0,74.0
24,24.0,45815,45815.0,3132.0348468229054,3132.0348468229054,115,29,222,26,161,434.64675298172597,228.0,33.0
25,25.0,46121,46121.0,3400.6988437473337,3400.6988437473337,128,41,253,40,172,268.6639969244284,306.0,13.0
26,26.0,46220,46220.0,3638.8948032402272,3638.8948032402272,139,34,283,31,216,238.1959594928935,99.0,11.0
