frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,raw_junction_pixel_count,normalized_branch_point_count,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,13576,13576.0,787.4142135623731,787.4142135623731,0,0,0,2,1,0,0,,,
1,1.0,13576,13576.0,787.4142135623731,787.4142135623731,0,0,0,2,1,0,0,0.0,0.0,0.0
2,2.0,13576,13576.0,787.4142135623731,787.4142135623731,0,0,0,2,1,0,0,0.0,0.0,0.0
3,3.0,11472,11472.0,477.00714267493646,477.00714267493646,2,4,2,18,12,4,1,-310.40707088743665,-2104.0,2.0
4,4.0,11339,11339.0,435.6639969244288,435.6639969244288,1,1,1,17,10,3,0,-41.34314575050769,-133.0,-1.0
5,5.0,11580,11580.0,442.22034611053283,442.22034611053283,2,5,2,22,14,6,0,6.5563491861040575,241.0,1.0
6,6.0,11606,11606.0,439.87720036002514,439.87720036002514,2,5,2,22,14,6,0,-2.343145750507688,26.0,0.0
7,7.0,10837,10837.0,411.22034611053283,411.22034611053283,2,5,2,20,13,6,0,-28.656854249492312,-769.0,0.0
8,8.0,10837,10837.0,411.22034611053283,411.22034611053283,2,5,2,20,13,6,0,0.0,0.0,0.0
9,9.0,11106,11106.0,436.7766952966369,436.7766952966369,3,5,3,21,15,7,1,25.556349186104057,269.0,1.0
10,10.0,10281,10281.0,387.83556979968256,387.83556979968256,2,5,2,20,13,6,0,-48.94112549695433,-825.0,-1.0
11,11.0,10333,10333.0,376.0782104868018,376.0782104868018,2,5,2,18,12,6,0,-11.757359312880737,52.0,0.0
12,12.0,10347,10347.0,379.35028842544403,379.35028842544403,1,1,1,17,10,3,0,3.2720779386422123,14.0,-1.0
13,13.0,10506,10506.0,394.8355697996825,394.8355697996825,1,1,1,15,9,3,0,15.485281374238468,159.0,0.0
14,14.0,10506,10506.0,394.8355697996825,394.8355697996825,1,1,1,15,9,3,0,0.0,0.0,0.0
15,15.0,10122,10122.0,358.1076477383247,358.1076477383247,1,1,1,17,10,3,0,-36.72792206135779,-384.0,0.0
16,16.0,10472,10472.0,426.2497833620557,426.2497833620557,2,4,2,16,11,4,1,68.14213562373101,350.0,1.0
17,17.0,10265,10265.0,417.4213562373095,417.4213562373095,2,4,2,16,11,4,1,-8.828427124746213,-207.0,0.0
18,18.0,10905,10905.0,407.11984104714446,407.11984104714446,2,2,2,18,12,6,0,-10.301515190165048,640.0,0.0
19,19.0,10873,10873.0,402.3919189857866,402.3919189857866,2,4,2,18,12,6,0,-4.7279220613578445,-32.0,0.0
20,20.0,10873,10873.0,402.3919189857866,402.3919189857866,2,4,2,18,12,6,0,0.0,0.0,0.0
21,21.0,10112,10112.0,361.5929291125633,361.5929291125633,1,1,1,17,10,3,0,-40.79898987322332,-761.0,-1.0
22,22.0,9556,9556.0,362.8355697996826,362.8355697996826,2,4,2,18,12,4,1,1.2426406871193194,-556.0,1.0
23,23.0,10945,10945.0,422.9066376115481,422.9066376115481,2,4,2,16,11,6,0,60.071067811865476,1389.0,0.0
24,24.0,11057,11057.0,431.6639969244288,431.6639969244288,2,4,2,16,11,6,0,8.75735931288068,112.0,0.0
25,25.0,10859,10859.0,405.8061325481597,405.8061325481597,2,5,2,18,12,6,0,-25.85786437626905,-198.0,0.0
26,26.0,10842,10842.0,404.8061325481597,404.8061325481597,2,5,2,18,12,6,0,-1.0,-17.0,0.0
27,27.0,10891,10891.0,413.46298679765215,413.46298679765215,3,9,3,19,14,9,0,8.656854249492426,49.0,1.0
28,28.0,11269,11269.0,441.2619766708754,441.2619766708754,3,9,3,19,14,9,0,27.798989873223263,378.0,0.0
29,29.0,11249,11249.0,447.4335495461292,447.4335495461292,4,13,4,22,17,12,0,6.171572875253787,-20.0,1.0
30,30.0,10822,10822.0,404.7056274847714,404.7056274847714,3,9,3,19,14,9,0,-42.72792206135779,-427.0,-1.0
31,31.0,10677,10677.0,392.56349186104046,392.56349186104046,3,9,3,21,15,9,0,-12.142135623730951,-145.0,0.0
32,32.0,10693,10693.0,393.97770542341357,393.97770542341357,3,9,3,21,15,9,0,1.4142135623731065,16.0,0.0
33,33.0,10868,10868.0,409.048773235279,409.048773235279,4,12,4,22,17,10,1,15.071067811865419,175.0,1.0
34,34.0,10218,10218.0,369.6639969244288,369.6639969244288,2,5,2,18,12,6,0,-39.384776310850214,-650.0,-2.0
35,35.0,10398,10398.0,376.90663761154804,376.90663761154804,2,5,2,18,12,6,0,7.242640687119263,180.0,0.0
36,36.0,10369,10369.0,370.24978336205567,370.24978336205567,2,5,2,18,12,6,0,-6.656854249492369,-29.0,0.0
37,37.0,10642,10642.0,383.32085117392114,383.32085117392114,2,5,2,18,12,6,0,13.071067811865476,273.0,0.0
38,38.0,10628,10628.0,382.32085117392114,382.32085117392114,2,5,2,18,12,6,0,-1.0,-14.0,0.0
39,39.0,10086,10086.0,360.5929291125633,360.5929291125633,2,5,2,18,12,6,0,-21.727922061357845,-542.0,0.0
40,40.0,10747,10747.0,399.29141392239836,399.29141392239836,3,8,3,19,14,9,0,38.698484809835065,661.0,1.0
41,41.0,10467,10467.0,386.3919189857866,386.3919189857866,3,9,3,19,14,9,0,-12.899494936611745,-280.0,0.0
42,42.0,10267,10267.0,366.0782104868019,366.0782104868019,2,5,2,18,12,6,0,-20.313708498984738,-200.0,-1.0
43,43.0,10342,10342.0,375.73506473629425,375.73506473629425,3,9,3,19,14,9,0,9.656854249492369,75.0,1.0
44,44.0,10342,10342.0,375.73506473629425,375.73506473629425,3,9,3,19,14,9,0,0.0,0.0,0.0
45,45.0,10731,10731.0,394.56349186104046,394.56349186104046,2,5,2,18,12,6,0,18.828427124746213,389.0,-1.0
46,46.0,10372,10372.0,372.4213562373095,372.4213562373095,2,5,2,18,12,6,0,-22.14213562373095,-359.0,0.0
47,47.0,10658,10658.0,389.3208511739212,389.3208511739212,1,1,1,17,10,3,0,16.89949493661169,286.0,-1.0
48,48.0,10364,10364.0,374.90663761154804,374.90663761154804,1,1,1,17,10,3,0,-14.414213562373163,-294.0,0.0
49,49.0,10847,10847.0,401.8772003600252,401.8772003600252,2,2,2,18,12,6,0,26.970562748477164,483.0,1.0
50,50.0,10832,10832.0,399.87720036002526,399.87720036002526,2,2,2,18,12,6,0,-1.9999999999999432,-15.0,0.0
51,51.0,10546,10546.0,387.63455967290594,387.63455967290594,2,5,2,18,12,6,0,-12.24264068711932,-286.0,0.0
52,52.0,10870,10870.0,402.46298679765215,402.46298679765215,2,5,2,18,12,6,0,14.828427124746213,324.0,0.0
53,53.0,10596,10596.0,383.14927829866735,383.14927829866735,2,5,2,20,13,6,0,-19.313708498984795,-274.0,0.0
54,54.0,10779,10779.0,397.04877323527904,397.04877323527904,2,5,2,18,12,6,0,13.899494936611688,183.0,0.0
55,55.0,10183,10183.0,361.9066376115481,361.9066376115481,1,1,1,17,10,3,0,-35.14213562373095,-596.0,-1.0
56,56.0,10183,10183.0,361.9066376115481,361.9066376115481,1,1,1,17,10,3,0,0.0,0.0,0.0
57,57.0,10545,10545.0,379.8061325481597,379.8061325481597,2,4,2,20,13,6,0,17.89949493661163,362.0,1.0
58,58.0,10506,10506.0,376.3919189857866,376.3919189857866,1,1,1,17,10,3,0,-3.4142135623731065,-39.0,-1.0
59,59.0,10634,10634.0,378.3919189857866,378.3919189857866,1,1,1,17,10,3,0,2.0,128.0,0.0
60,60.0,10212,10212.0,362.0071426749364,362.0071426749364,1,1,1,17,10,3,0,-16.384776310850214,-422.0,0.0
61,61.0,10328,10328.0,366.0782104868019,366.0782104868019,1,1,1,17,10,3,0,4.0710678118654755,116.0,0.0
62,62.0,10328,10328.0,366.0782104868019,366.0782104868019,1,1,1,17,10,3,0,0.0,0.0,0.0
63,63.0,10621,10621.0,391.2914139223983,391.2914139223983,2,5,2,18,12,6,0,25.213203435596427,293.0,1.0
64,64.0,10321,10321.0,402.46298679765215,402.46298679765215,2,4,2,18,12,4,1,11.171572875253844,-300.0,0.0
65,65.0,10458,10458.0,371.0782104868019,371.0782104868019,1,1,1,19,11,3,0,-31.38477631085027,137.0,-1.0
66,66.0,10863,10863.0,386.8061325481597,386.8061325481597,1,1,1,19,11,3,0,15.727922061357845,405.0,0.0
67,67.0,10977,10977.0,391.8061325481597,391.8061325481597,2,5,2,22,14,6,0,5.0,114.0,1.0
68,68.0,10977,10977.0,391.8061325481597,391.8061325481597,2,5,2,22,14,6,0,0.0,0.0,0.0
69,69.0,10399,10399.0,365.6639969244288,365.6639969244288,1,1,1,19,11,3,0,-26.14213562373095,-578.0,-1.0
70,70.0,9948,9948.0,374.2497833620558,374.2497833620558,2,4,2,20,13,4,1,8.585786437627007,-451.0,1.0
71,71.0,10661,10661.0,383.6345596729059,383.6345596729059,2,5,2,20,13,6,0,9.3847763108501,713.0,0.0
72,72.0,10371,10371.0,369.14927829866735,369.14927829866735,2,5,2,19,13,6,0,-14.485281374238525,-290.0,0.0
73,73.0,10749,10749.0,388.56349186104046,388.56349186104046,2,5,2,19,13,6,0,19.414213562373106,378.0,0.0
74,74.0,10749,10749.0,388.56349186104046,388.56349186104046,2,5,2,19,13,6,0,0.0,0.0,0.0
75,75.0,10193,10193.0,371.5929291125633,371.5929291125633,2,5,2,18,12,6,0,-16.970562748477164,-556.0,0.0
76,76.0,10883,10883.0,388.24978336205567,388.24978336205567,2,4,2,18,12,6,0,16.65685424949237,690.0,0.0
77,77.0,10444,10444.0,349.35028842544403,349.35028842544403,1,1,1,19,11,3,0,-38.89949493661163,-439.0,-1.0
78,78.0,10192,10192.0,364.56349186104046,364.56349186104046,1,1,1,17,10,3,0,15.213203435596427,-252.0,0.0
79,79.0,10141,10141.0,359.6639969244288,359.6639969244288,1,1,1,17,10,3,0,-4.8994949366116884,-51.0,0.0
80,80.0,10141,10141.0,359.6639969244288,359.6639969244288,1,1,1,17,10,3,0,0.0,0.0,0.0
81,81.0,10750,10750.0,389.3208511739212,389.3208511739212,3,8,3,21,15,7,1,29.656854249492426,609.0,2.0
82,82.0,9789,9789.0,344.5929291125633,344.5929291125633,1,1,1,17,10,3,0,-44.7279220613579,-961.0,-2.0
83,83.0,9874,9874.0,344.5929291125633,344.5929291125633,1,1,1,16,10,3,0,0.0,85.0,0.0
